ipAddress,packetsIn,packetsOut,bytesIn,bytesOut
103.84.152.177,9,12,1449,6275
103.84.152.178,9,11,1449,6212
104.18.32.47,21,25,7476,6216
104.18.41.41,25,168,4144,219925
104.21.25.25,291,1192,14270,1661491
104.244.42.194,140,177,92315,103381
104.244.42.67,430,442,22551,45297
104.26.11.49,68,310,7454,311047
104.71.61.50,3,4,120,128
104.71.61.56,3,4,120,128
107.21.40.131,16,19,2958,6624
108.158.46.102,16,17,1588,7277
108.158.46.111,31,35,3201,14911
108.158.46.47,29,32,3137,14407
116.119.43.211,1383,14681,302638,20534649
116.119.77.79,191,2514,10130,3588371
13.107.246.68,18,26,2024,21364
13.107.42.14,143,137,76381,13796
13.107.42.16,4,4,143,80
142.250.182.195,23,28,4947,19565
142.250.182.202,58,99,6854,74570
142.250.182.206,62,88,24689,51468
142.250.182.214,26,33,2417,20315
142.250.182.226,18,16,2732,6013
142.250.182.234,28,34,10494,15357
142.250.182.238,625,1134,333445,709907
142.250.183.106,8,9,2557,1486
142.250.183.110,21,26,3878,14289
142.250.183.161,69,295,3964,392751
142.250.183.163,62,113,5126,13955
142.250.183.174,52,63,10308,25792
142.250.183.197,31,39,14553,15218
142.250.183.206,60,109,8056,67547
142.250.183.22,183,947,23815,1153140
142.250.183.67,6,4,432,263
142.250.183.98,17,23,2337,6754
142.250.192.10,16,21,2170,6246
142.250.192.102,11,11,1367,5588
142.250.192.106,23,27,4506,13311
142.250.192.129,68,109,4928,97922
142.250.192.138,4,3,191,96
142.250.192.14,88,209,11732,196393
142.250.192.142,150,242,10175,45409
142.250.192.34,84,95,6289,21979
142.250.192.74,324,465,43210,36490
142.250.192.97,23,48,1942,55995
142.250.199.133,18,18,5065,6992
142.250.199.136,62,201,4168,258336
142.250.199.138,19,24,5384,12822
142.250.199.163,63,49,56571,13176
142.250.199.166,12,11,1421,5588
142.250.66.1,24,30,5676,12001
142.250.67.170,22,24,5410,12748
142.250.67.228,9,9,5330,6504
142.250.67.238,124,184,59326,40988
142.250.70.106,54,110,5612,100398
142.250.70.65,24,47,2041,52958
142.250.70.67,42,48,4926,19040
142.250.70.99,47,69,4925,62996
142.250.76.174,19,18,2218,6529
142.250.76.206,169,215,59060,46650
142.250.77.78,17,21,1494,9922
142.251.175.156,10,11,1473,6004
142.251.42.14,31,26,2640,7081
142.251.42.70,14,16,2017,6228
142.251.42.78,12,8,700,526
151.101.129.140,23,21,15791,7827
151.101.131.6,17,18,2048,8555
151.101.193.229,11,40,1446,43211
152.195.38.76,2,0,52,0
152.199.43.62,27,92,3481,112582
17.242.13.5,84,84,4031,17057
17.248.239.128,19,17,2676,4396
17.248.239.129,19,19,2269,6450
17.248.239.130,17,17,2598,4386
17.248.239.64,1591,3128,307751,3451752
17.248.239.65,1028,1488,247546,1016799
17.248.239.66,1648,3112,295458,3479006
17.253.18.195,12,8,696,1324
17.253.18.199,6,4,348,661
17.253.18.202,12,8,696,1192
17.253.18.241,171,258,25834,188570
17.253.87.195,10,9,1320,6935
17.253.87.197,3,4,120,128
17.253.87.199,3,4,120,128
17.253.87.201,14,14,1401,8072
17.253.87.205,25,23,3015,12377
17.36.206.4,6,5,697,2688
17.57.12.242,12,10,1556,5872
17.57.172.11,24,20,3133,11733
17.8.131.163,31,31,5280,10722
17.8.156.30,4,7,191,263
172.217.174.228,523,1326,141089,1168546
172.217.174.66,26,32,2464,7068
172.253.118.188,33,31,1070,658
172.64.148.171,45,43,5530,16081
172.64.155.209,39,43,10019,12174
172.66.42.243,19,24,2185,21095
18.239.83.61,10,21,1325,16251
182.79.148.143,238,3819,23184,5441144
192.168.1.1,0,3,0,882
192.168.1.10,13,13,2391,2412
192.168.1.12,75166,25782,92289143,3248723
192.168.1.13,2,3,162,2633
192.168.1.6,0,6,0,243
192.168.1.9,54,55,17544,2226
199.232.56.158,10073,27433,428691,38046046
199.232.56.159,2380,5931,86235,8228021
20.44.10.123,17,16,3557,7534
216.239.32.181,13,18,1800,9539
224.0.0.251,72,0,8636,0
23.1.12.27,30,33,2884,17254
23.15.34.109,16,17,1617,6846
23.15.34.48,6,8,240,256
23.15.35.34,13,9,746,696
23.15.35.9,18,12,1071,984
23.21.170.246,5,7,237,253
23.23.209.48,14,18,2088,6595
23.63.108.209,4,5,152,148
23.63.108.210,10,9,1814,1223
255.255.255.255,9,0,1125,0
3.233.158.24,5,3,199,60
34.107.199.61,11,8,1565,5016
34.198.52.45,15,12,1968,6371
34.200.140.107,21,21,2898,8012
34.232.85.253,23,24,10880,8029
44.217.28.87,23,24,10880,8029
45.54.49.1,31,36,6183,17138
52.0.113.123,16,22,2844,7828
52.123.128.14,43,50,8382,25237
52.123.129.14,87,98,22369,36068
52.6.222.236,81,93,14881,33104
52.73.181.5,17,20,3055,6866
52.98.123.178,99,295,16564,25610
54.182.0.84,16,28,1545,24704
54.235.102.208,16,19,3875,6627
64.233.170.108,91,96,7559,15514
64.233.170.84,49,48,18051,18805
65.0.143.174,37,39,6067,28011
74.125.130.109,52,52,4131,13365
74.125.250.129,91,91,2548,3640
75.101.183.180,17,20,2109,6656
8.8.4.4,10,10,3330,4946
8.8.8.8,677,1451,84436,244253
