srcIp,destIp,packetsIn,packetsOut,bytesIn,bytesOut
103.84.152.177,192.168.1.12,0,12,0,6515
103.84.152.178,192.168.1.12,0,11,0,6432
104.18.32.47,192.168.1.12,0,25,0,6716
104.18.41.41,192.168.1.12,0,168,0,223285
104.21.25.25,192.168.1.12,0,1192,0,1685331
104.244.42.194,192.168.1.12,0,177,0,106921
104.244.42.67,192.168.1.12,0,442,0,54137
104.26.11.49,192.168.1.12,0,310,0,317247
104.71.61.50,192.168.1.12,0,4,0,208
104.71.61.56,192.168.1.12,0,4,0,208
107.21.40.131,192.168.1.12,0,19,0,7004
108.158.46.102,192.168.1.12,0,17,0,7617
108.158.46.111,192.168.1.12,0,35,0,15611
108.158.46.47,192.168.1.12,0,32,0,15047
116.119.43.211,192.168.1.12,0,14681,0,20828269
116.119.77.79,192.168.1.12,0,2514,0,3638651
13.107.246.68,192.168.1.12,0,26,0,21884
13.107.42.14,192.168.1.12,0,137,0,16536
13.107.42.16,192.168.1.12,0,4,0,160
142.250.182.195,192.168.1.12,0,28,0,20125
142.250.182.202,192.168.1.12,0,99,0,76550
142.250.182.206,192.168.1.12,0,88,0,53228
142.250.182.214,192.168.1.12,0,33,0,20975
142.250.182.226,192.168.1.12,0,16,0,6333
142.250.182.234,192.168.1.12,0,34,0,16037
142.250.182.238,192.168.1.12,0,1134,0,732587
142.250.183.106,192.168.1.12,0,9,0,1666
142.250.183.110,192.168.1.12,0,26,0,14809
142.250.183.161,192.168.1.12,0,295,0,398651
142.250.183.163,192.168.1.12,0,113,0,16215
142.250.183.174,192.168.1.12,0,63,0,27052
142.250.183.197,192.168.1.12,0,39,0,15998
142.250.183.206,192.168.1.12,0,109,0,69727
142.250.183.22,192.168.1.12,0,947,0,1172080
142.250.183.67,192.168.1.12,0,4,0,343
142.250.183.98,192.168.1.12,0,23,0,7214
142.250.192.102,192.168.1.12,0,11,0,5808
142.250.192.106,192.168.1.12,0,27,0,13851
142.250.192.10,192.168.1.12,0,21,0,6666
142.250.192.129,192.168.1.12,0,109,0,100102
142.250.192.138,192.168.1.12,0,3,0,156
142.250.192.142,192.168.1.12,0,242,0,50249
142.250.192.14,192.168.1.12,0,209,0,200573
142.250.192.34,192.168.1.12,0,95,0,23879
142.250.192.74,192.168.1.12,0,465,0,45790
142.250.192.97,192.168.1.12,0,48,0,56955
142.250.199.133,192.168.1.12,0,18,0,7352
