ip1,ip2,srcPort,destPort,packetsIn,packetsOut,bytesIn,bytesOut
192.168.1.12,17.253.18.199,80,50133,6,4,144,525
192.168.1.12,142.251.42.14,80,50134,6,4,146,127
192.168.1.12,23.15.35.9,80,50135,6,4,153,192
192.168.1.12,17.253.18.202,80,50137,6,4,144,460
192.168.1.12,142.251.42.14,80,50138,6,4,146,127
192.168.1.12,23.15.35.9,80,50139,6,4,153,192
192.168.1.12,17.253.18.202,80,50140,6,4,144,460
192.168.1.12,142.251.42.14,80,50141,6,4,146,127
192.168.1.12,23.15.35.9,80,50142,6,4,153,192
192.168.1.12,17.253.18.195,80,50147,6,4,144,526
192.168.1.12,142.251.42.78,80,50148,6,4,146,127
192.168.1.12,23.15.35.34,80,50149,6,4,153,192
192.168.1.12,17.253.18.195,80,50150,6,4,144,526
192.168.1.12,142.251.42.78,80,50151,6,4,146,127
192.168.1.12,23.15.35.34,80,50152,7,5,153,192
192.168.1.12,152.195.38.76,80,55581,2,0,0,0
192.168.1.12,142.250.183.67,80,55878,6,4,228,127
192.168.1.12,23.63.108.210,443,50136,10,9,1506,927
8.8.8.8,192.168.1.12,443,55611,675,1449,62572,197669
192.168.1.12,13.107.42.16,443,55615,4,4,63,0
104.71.61.50,192.168.1.12,443,55618,3,4,24,24
23.15.34.48,192.168.1.12,443,55620,3,4,24,24
17.248.239.65,192.168.1.12,443,55622,477,570,107277,163743
23.63.108.209,192.168.1.12,443,55625,4,5,24,24
192.168.1.12,172.64.155.209,443,55628,8,9,1732,426
17.253.87.199,192.168.1.12,443,55630,3,4,24,24
192.168.1.12,151.101.129.140,443,55631,15,15,11810,6207
192.168.1.12,52.98.123.178,443,55632,99,295,13372,16170
192.168.1.12,151.101.129.140,443,55634,8,6,3269,948
192.168.1.12,142.250.192.138,443,55637,4,3,63,0
52.123.129.14,192.168.1.12,443,55638,4,6,1806,297
104.71.61.56,192.168.1.12,443,55640,3,4,24,24
17.8.156.30,192.168.1.12,443,55642,4,7,63,63
17.253.87.205,192.168.1.12,443,55644,3,4,24,24
192.168.1.12,3.233.158.24,443,55645,5,3,63,0
23.15.34.48,192.168.1.12,443,55648,3,4,24,24
192.168.1.12,142.250.192.74,443,55651,324,465,32722,21598
192.168.1.12,13.107.42.14,443,55662,143,137,73509,10996
23.1.12.27,192.168.1.12,443,55666,3,4,24,24
172.64.148.171,192.168.1.12,443,55667,4,3,63,0
142.250.76.206,192.168.1.12,443,55671,119,148,46053,15645
23.21.170.246,192.168.1.12,443,55672,5,7,77,77
192.168.1.12,142.250.183.106,443,55673,8,9,2325,1198
17.253.87.197,192.168.1.12,443,55675,3,4,24,24
142.250.183.163,192.168.1.12,443,55676,62,113,3034,10331
192.168.1.12,17.248.239.65,443,55677,39,85,4698,104105
192.168.1.12,142.250.67.170,443,55678,22,24,4706,11912
192.168.1.12,17.57.172.11,443,55679,12,10,1184,5531
192.168.1.12,17.248.239.65,443,55680,27,84,4703,103918
192.168.1.12,142.250.70.99,443,55681,15,13,1229,5150
192.168.1.12,142.250.199.133,443,55682,18,18,4477,6408
192.168.1.12,17.248.239.65,443,55683,36,84,4346,105835
52.6.222.236,192.168.1.12,443,55684,16,18,1553,6056
192.168.1.12,142.250.192.142,443,55685,10,8,517,6583
192.168.1.12,65.0.143.174,443,55686,37,39,4883,26755
192.168.1.12,142.250.192.142,443,55687,140,234,4906,31066
192.168.1.12,108.158.46.111,443,55688,16,17,1121,6644
23.1.12.27,192.168.1.12,443,55689,11,15,985,7950
192.168.1.12,17.253.87.195,443,55690,10,9,1000,6639
192.168.1.12,172.217.174.228,443,55691,509,1310,123012,1120462
17.248.239.65,192.168.1.12,443,55692,15,15,2335,5699
192.168.1.12,17.248.239.65,443,55693,16,15,2336,5690
192.168.1.12,17.248.239.65,443,55694,17,15,2337,5750
192.168.1.12,172.217.174.66,443,55695,26,32,1620,6036
192.168.1.12,142.250.183.110,443,55696,21,26,3218,13449
192.168.1.12,142.250.192.106,443,55697,23,27,3770,12439
192.168.1.12,142.250.182.214,443,55698,26,33,1585,19251
192.168.1.12,142.250.66.1,443,55699,24,30,4908,10985
192.168.1.12,142.250.182.206,443,55700,62,88,22693,48572
192.168.1.12,142.250.192.34,443,55701,29,33,1315,6836
192.168.1.12,142.250.199.166,443,55702,12,11,1037,5228
192.168.1.12,142.250.70.106,443,55703,54,110,3884,96870
192.168.1.12,17.248.239.65,443,55704,37,83,4341,103787
192.168.1.12,64.233.170.84,443,55705,36,35,12765,10219
192.168.1.12,142.250.183.206,443,55706,23,53,3081,44552
192.168.1.12,142.250.192.14,443,55707,88,209,8892,189673
192.168.1.12,142.250.182.195,443,55708,23,28,4211,18649
17.248.239.65,192.168.1.12,443,55709,53,89,15020,61275
192.168.1.12,104.21.25.25,443,55710,291,1192,4798,1623339
192.168.1.12,172.66.42.243,443,55711,19,24,1577,20307
192.168.1.12,142.250.199.136,443,55712,33,96,1045,118261
192.168.1.12,142.251.175.156,443,55713,10,11,1153,5644
192.168.1.12,142.250.70.67,443,55714,13,18,1297,6737
192.168.1.12,216.239.32.181,443,55715,13,18,1372,8955
192.168.1.12,18.239.83.61,443,55716,10,21,1005,15571
192.168.1.12,17.248.239.66,443,55717,32,83,4347,104680
192.168.1.12,17.248.239.66,443,55718,34,83,4346,104484
192.168.1.12,17.248.239.65,443,55719,43,131,16292,164650
192.168.1.12,17.248.239.66,443,55720,22,23,3834,20253
192.168.1.12,17.253.87.205,443,55721,10,9,1001,6618
192.168.1.12,17.253.87.205,443,55722,12,10,1214,5007
192.168.1.12,142.250.76.206,443,55723,10,13,1148,5920
192.168.1.12,142.251.42.14,443,55724,13,14,1174,5836
192.168.1.12,17.248.239.66,443,55725,33,84,5748,103248
52.73.181.5,192.168.1.12,443,55726,17,20,2499,6254
52.0.113.123,192.168.1.12,443,55727,16,22,2320,7152
34.200.140.107,192.168.1.12,443,55728,21,21,2214,7368
34.232.85.253,192.168.1.12,443,55729,23,24,10132,7289
17.253.87.201,192.168.1.12,443,55730,14,14,941,7640
192.168.1.12,142.250.183.206,443,55731,37,56,3019,19491
192.168.1.12,54.182.0.84,443,55732,16,28,1069,23800
192.168.1.12,17.248.239.66,443,55733,43,84,4353,103428
192.168.1.12,13.107.246.68,443,55734,18,26,1448,20524
192.168.1.12,17.248.239.66,443,55735,18,18,2367,5695
192.168.1.12,17.248.239.66,443,55736,14,14,2335,5667
192.168.1.12,17.248.239.66,443,55737,15,14,2335,5695
192.168.1.12,108.158.46.111,443,55738,15,18,1064,7131
192.168.1.12,104.26.11.49,443,55739,22,47,1581,46312
192.168.1.12,142.250.199.136,443,55740,29,105,1019,133615
192.168.1.12,142.250.182.202,443,55741,15,26,1152,9824
192.168.1.12,104.26.11.49,443,55742,46,263,3697,254799
192.168.1.12,142.250.70.99,443,55743,18,42,1046,49209
192.168.1.12,151.101.193.229,443,55744,11,40,1094,41923
192.168.1.12,142.250.183.174,443,55745,12,16,1416,6070
192.168.1.12,17.248.239.66,443,55746,33,86,5751,103630
17.248.239.65,192.168.1.12,443,55747,27,36,5730,24044
192.168.1.12,17.248.239.66,443,55748,6,6,517,3571
192.168.1.12,17.248.239.66,443,55749,43,83,4350,104650
17.248.239.130,192.168.1.12,443,55750,17,17,2042,3858
192.168.1.12,17.248.239.66,443,55751,38,80,4350,100010
52.6.222.236,192.168.1.12,443,55752,20,21,6017,6056
52.123.129.14,192.168.1.12,443,55753,17,23,3679,10007
192.168.1.12,17.248.239.66,443,55754,27,85,4692,103792
17.248.239.66,192.168.1.12,443,55755,18,17,3735,5678
17.248.239.66,192.168.1.12,443,55756,16,17,3734,5671
17.248.239.66,192.168.1.12,443,55757,17,17,3736,5675
192.168.1.12,17.248.239.66,443,55758,33,81,4350,101845
192.168.1.12,103.84.152.178,443,55759,9,11,1161,5852
192.168.1.12,17.248.239.66,443,55760,41,83,4349,104464
17.248.239.65,192.168.1.12,443,55761,19,24,4899,5228
192.168.1.12,20.44.10.123,443,55762,17,16,3001,7014
192.168.1.12,17.248.239.66,443,55763,29,83,4347,104528
54.235.102.208,192.168.1.12,443,55764,16,19,3351,6047
192.168.1.12,17.248.239.66,443,55765,36,84,4337,105370
17.248.239.66,192.168.1.12,443,55766,18,16,2337,5746
192.168.1.12,17.248.239.66,443,55767,15,16,2337,5756
192.168.1.12,17.248.239.66,443,55768,17,16,2334,5764
192.168.1.12,17.248.239.66,443,55769,31,89,5750,107196
192.168.1.12,17.248.239.65,443,55770,9,8,517,3571
192.168.1.12,17.248.239.66,443,55771,37,86,4352,107123
192.168.1.12,17.248.239.66,443,55772,30,85,4344,106661
192.168.1.12,17.57.172.11,443,55773,12,10,1205,5546
192.168.1.12,17.36.206.4,443,55774,6,5,517,2520
192.168.1.12,172.64.148.171,443,55775,15,15,1065,5506
172.64.148.171,192.168.1.12,443,55776,15,14,1482,4481
172.64.155.209,192.168.1.12,443,55777,19,23,4731,5379
52.6.222.236,192.168.1.12,443,55778,15,18,1553,6056
192.168.1.12,142.250.182.238,443,55779,596,1071,308948,608829
192.168.1.12,142.250.183.22,443,55780,183,947,17795,1122804
192.168.1.12,142.250.182.238,443,55781,29,63,4365,64570
192.168.1.12,142.250.192.34,443,55782,44,54,1697,7726
192.168.1.12,142.250.77.78,443,55783,17,21,938,9242
192.168.1.12,142.250.76.206,443,55784,40,54,6427,18093
192.168.1.12,142.251.42.70,443,55785,14,16,1569,5708
192.168.1.12,142.250.192.129,443,55786,68,109,2752,94414
192.168.1.12,142.250.67.238,443,55787,124,184,55310,34708
192.168.1.12,172.217.174.228,443,55788,14,16,1245,5600
192.168.1.12,142.250.70.67,443,55789,14,16,1246,5641
192.168.1.12,142.250.182.202,443,55790,43,73,3858,61562
192.168.1.12,142.250.192.102,443,55791,11,11,1015,5228
192.168.1.12,142.250.183.174,443,55792,27,30,5796,11063
192.168.1.12,17.248.239.66,443,55793,37,85,4350,106661
52.123.128.14,192.168.1.12,443,55794,21,26,5054,8890
192.168.1.12,17.248.239.66,443,55795,20,23,3840,20209
192.168.1.12,17.57.12.242,443,55796,12,10,1184,5544
192.168.1.12,142.250.192.97,443,55797,23,48,1206,54451
192.168.1.12,142.250.183.161,443,55798,69,295,1696,383303
192.168.1.12,142.250.70.65,443,55799,24,47,1201,51446
192.168.1.12,116.119.77.79,443,55800,191,2514,4018,3507915
