ip1,ip2,srcPort,destPort,packetsIn,packetsOut,bytesIn,bytesOut
192.168.1.12,224.0.0.251,53,4131,1,1,28,60
192.168.1.12,224.0.0.251,53,5049,1,1,28,104
192.168.1.12,224.0.0.251,67,68,0,3,0,858
192.168.1.12,224.0.0.251,443,53099,171,258,24466,186506
192.168.1.12,224.0.0.251,443,62361,9,9,5258,6432
192.168.1.12,224.0.0.251,443,62786,10,10,3250,4866
192.168.1.12,224.0.0.251,5353,5353,78,0,9364,0
192.168.1.12,224.0.0.251,9999,50021,3,0,87,0
192.168.1.12,224.0.0.251,19302,53143,91,91,1820,2912
192.168.1.12,224.0.0.251,50020,56700,0,3,0,108
192.168.1.12,224.0.0.251,51705,59503,2,0,2400,0
